"Acc_name","Syn"
"Dipodomys ordii","Dipodomys ordii luteolus"
"Dipodomys ordii","Dipodomys ordii richardsoni"
"Spermophilus tridecemlineatus","Spermophilus tridecemlineatus pallidus"
"Sorex haydeni","Sorex cinereus haydeni"
"Actitis macularius","Actitis macularia"
"Gallinago delicata","Gallinago gallinago"
"Tympanuchus phasianellus","Pedioecetes phasianellus"
"Plectrophenax nivalis","Plectrophenax nivalis nivalis"
"Passerina caerulea","Guiraca caerulea"
"Pica hudsonia","Pica pica"
"Petrochelidon pyrrhonota","Hirundo pyrrhonota"
"Poecile atricapillus","Parus atricapillus"
"Ardea alba","Casmerodius albus"
"Coluber constrictor","Coluber constrictor flaviventris"
"Heterodon nasicus","Heterodon nasicus nasicus"
"Lampropeltis triangulum","Lampropeltis triangulum gentilis"
"Lampropeltis triangulum","Lampropeltis triangulum multistriata"
"Nerodia sipedon","Nerodia sipedon sipedon"
"Pituophis catenifer","Pituophis catenifer sayi"
"Pituophis catenifer","Pituophis melanoleucus sayi"
"Thamnophis elegans","Thamnophis elegans vagrans"
"Thamnophis sirtalis","Thamnophis sirtalis parietalis"
"Phrynosoma hernandesi","Phrynosoma douglasii"
"Phrynosoma hernandesi","Phrynosoma douglassii brevirostre"
"Phrynosoma hernandesi","Phrynosoma douglassii"
"Eumeces multivirgatus","Eumeces multivirgatus multivirgatus"
"Crotalus viridis","Crotalus viridis viridis"
"Chrysemys picta","Chrysemys picta bellii"
"Terrapene ornata","Terrapene ornata ornata"
"Apalone spinifera","Apalone spinifera hartwegi"
"Ambystoma tigrinum","Ambystoma tigrinum mavortium"
"Catostomus commersonii","Catostomus commersoni"
"Toxicoscordion venenosum var. gramineum","Zigadenus venenosus gramineus"
"Sagittaria latifolia","Sagittaria latifolia latifolia"
"Triglochin maritima","Triglochin maritimum"
"Maianthemum stellatum","Smilacina stellata"
"Platanthera huronensis","Platanthera hyperborea huronensis"
"Platanthera hyperborea","Platanthera hyperborea hyperborea"
"Achillea millefolium var. occidentalis","Achillea millefolium lanulosa"
"Achillea millefolium var. occidentalis","Achillea millefolium ssp. lanulosa"
"Ambrosia psilostachya","Ambrosia cumanensis"
"Artemisia ludoviciana ssp. ludoviciana","Artemisia ludoviciana ludoviciana"
"Crepis runcinata ssp. runcinata","Crepis runcinata"
"Crepis runcinata ssp. runcinata","Crepis runcinata runcinata"
"Erigeron ochroleucus var. scribneri","Erigeron ochroleucus"
"Erigeron pumilus ssp. pumilus","Erigeron pumilus pumilus"
"Iva xanthifolia","Cyclachaena xanthifolia"
"Machaeranthera pinnatifida var. pinnatifida","Machaeranthera pinnatifida"
"Machaeranthera pinnatifida var. pinnatifida","Haplopappus spinulosus"
